round_epochs,loss,root_mean_squared_error,batch_size,dropout,epochs,losses,metric,optimizer,units_first_layer,units_second_layer
1,0.001111204968765378,0.03333473950624466,1,0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Nadam,50,10
1,0.0009220574866048992,0.03036540001630783,1,0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Nadam,50,25
1,0.0010762138990685344,0.03280569985508919,1,0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Nadam,100,10
1,0.0010510586434975266,0.03242003545165062,1,0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Nadam,100,25
1,0.0011726482771337032,0.034243952482938766,1,0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Adam,50,10
1,0.0012565979268401861,0.035448525100946426,1,0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Adam,50,25
1,0.0011875672498717904,0.03446109592914581,1,0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Adam,100,10
1,0.0012043273309245706,0.034703418612480164,1,0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Adam,100,25
1,0.011752727441489697,0.10840999335050583,1,0.5,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Nadam,50,10
1,0.007690674625337124,0.08769649267196655,1,0.5,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Nadam,50,25
1,0.01279685739427805,0.11312319338321686,1,0.5,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Nadam,100,10
1,0.008204340003430843,0.09057781100273132,1,0.5,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Nadam,100,25
1,0.011876963078975677,0.10898148268461227,1,0.5,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Adam,50,10
1,0.008307673037052155,0.09114643931388855,1,0.5,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Adam,50,25
1,0.012096394784748554,0.10998360812664032,1,0.5,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Adam,100,10
1,0.008552736602723598,0.09248100966215134,1,0.5,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Adam,100,25
1,0.002321261679753661,0.04817947372794151,10,0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Nadam,50,10
1,0.0030262949876487255,0.055011771619319916,10,0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Nadam,50,25
1,0.0024493630044162273,0.0494910404086113,10,0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Nadam,100,10
1,0.002159245079383254,0.046467676758766174,10,0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Nadam,100,25
1,0.0018173103453591466,0.042629923671483994,10,0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Adam,50,10
1,0.003943247254937887,0.06279528141021729,10,0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Adam,50,25
1,0.0026081502437591553,0.05107005313038826,10,0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Adam,100,10
1,0.0017898548394441605,0.042306676506996155,10,0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Adam,100,25
1,0.018737921491265297,0.13688652217388153,10,0.5,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Nadam,50,10
1,0.011835231445729733,0.1087898463010788,10,0.5,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Nadam,50,25
1,0.018966350704431534,0.13771837949752808,10,0.5,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Nadam,100,10
1,0.012125685811042786,0.11011669039726257,10,0.5,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Nadam,100,25
1,0.020120272412896156,0.1418459415435791,10,0.5,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Adam,50,10
1,0.0127617958933115,0.11296811699867249,10,0.5,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Adam,50,25
1,0.018764862790703773,0.1369848996400833,10,0.5,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Adam,100,10
1,0.01101634744554758,0.10495878756046295,10,0.5,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Adam,100,25
1,0.027807673439383507,0.16675633192062378,100,0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Nadam,50,10
1,0.03292718529701233,0.1814584881067276,100,0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Nadam,50,25
1,0.013811071403324604,0.11752051115036011,100,0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Nadam,100,10
1,0.02035774476826191,0.1426805704832077,100,0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Nadam,100,25
1,0.02674773521721363,0.1635473519563675,100,0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Adam,50,10
1,0.027719998732209206,0.1664932370185852,100,0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Adam,50,25
1,0.024657566100358963,0.15702727437019348,100,0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Adam,100,10
1,0.01698155142366886,0.13031329214572906,100,0,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Adam,100,25
1,0.04362072795629501,0.2088557630777359,100,0.5,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Nadam,50,10
1,0.03680422529578209,0.19184428453445435,100,0.5,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Nadam,50,25
1,0.034069761633872986,0.18457995355129242,100,0.5,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Nadam,100,10
1,0.021765457466244698,0.14753121137619019,100,0.5,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Nadam,100,25
1,0.056954529136419296,0.23865148425102234,100,0.5,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Adam,50,10
1,0.039157770574092865,0.1978832185268402,100,0.5,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Adam,50,25
1,0.03970728814601898,0.19926688075065613,100,0.5,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Adam,100,10
1,0.040577132254838943,0.20143766701221466,100,0.5,1,mean_squared_error,<tensorflow.python.keras.metrics.RootMeanSquaredError object at 0x151acbb10>,Adam,100,25
